STATE_COUNTY,WHITESPER
CO_PARK,0.9470000000000001
CO_PHILLIPS,0.892
CO_PITKIN,0.935
CO_PROWERS,0.81
CO_PUEBLO,0.794
CO_RIOBLANCO,0.919
CO_RIOGRANDE,0.7829999999999999
CO_ROUTT,0.948
CO_SAGUACHE,0.823
CO_SANJUAN,0.9259999999999999
CO_SANMIGUEL,0.929
CO_SEDGWICK,0.922
CO_SUMMIT,0.897
CO_TELLER,0.943
CO_WASHINGTON,0.953
CO_WELD,0.8290000000000001
CO_YUMA,0.882
CT_FAIRFIELD,0.748
CT_HARTFORD,0.7240000000000001
CT_LITCHFIELD,0.9390000000000001
CT_MIDDLESEX,0.892
CT_NEWHAVEN,0.748
CT_NEWLONDON,0.8220000000000001
CT_TOLLAND,0.898
CT_WINDHAM,0.8959999999999999
DE_KENT,0.6779999999999999
DE_NEWCASTLE,0.655
DE_SUSSEX,0.79
FL_ALACHUA,0.696
FL_BAKER,0.8370000000000001
FL_BAY,0.8220000000000001
FL_BRADFORD,0.764
FL_BREVARD,0.83
FL_BROWARD,0.631
FL_CALHOUN,0.8079999999999999
FL_CHARLOTTE,0.9
FL_CITRUS,0.93
FL_CLAY,0.818
FL_COLLIER,0.8390000000000001
FL_COLUMBIA,0.779
FL_DESOTO,0.662
FL_DIXIE,0.888
FL_DUVAL,0.609
FL_ESCAMBIA,0.6890000000000001
FL_FLAGLER,0.823
FL_FRANKLIN,0.826
FL_GADSDEN,0.359
FL_GILCHRIST,0.909
FL_GLADES,0.71
FL_GULF,0.7809999999999999
FL_HAMILTON,0.598
FL_HARDEE,0.722
FL_HENDRY,0.599
FL_HERNANDO,0.895
FL_HIGHLANDS,0.81
FL_HILLSBOROUGH,0.713
FL_HOLMES,0.905
FL_INDIANRIVER,0.843
FL_JACKSON,0.691
FL_JEFFERSON,0.604
FL_LAFAYETTE,0.774
FL_LAKE,0.82
FL_LEE,0.83
FL_LEON,0.63
FL_LEVY,0.855
FL_LIBERTY,0.773
FL_MADISON,0.5760000000000001
FL_MANATEE,0.8190000000000001
FL_MARION,0.81
FL_MARTIN,0.873
FL_MIAMI-DADE,0.738
FL_MONROE,0.895
FL_NASSAU,0.898
FL_OKALOOSA,0.8109999999999999
FL_OKEECHOBEE,0.775
FL_ORANGE,0.636
FL_OSCEOLA,0.71
FL_PALMBEACH,0.735
FL_PASCO,0.882
FL_PINELLAS,0.821
FL_POLK,0.752
FL_PUTNAM,0.773
FL_STJOHNS,0.893
FL_STLUCIE,0.718
FL_SANTAROSA,0.878
FL_SARASOTA,0.902
FL_SEMINOLE,0.782
FL_SUMTER,0.866
FL_SUWANNEE,0.825
FL_TAYLOR,0.752
FL_UNION,0.75
FL_VOLUSIA,0.825
FL_WAKULLA,0.82
FL_WALTON,0.878
FL_WASHINGTON,0.804
GA_APPLING,0.7340000000000001
GA_ATKINSON,0.622
GA_BACON,0.7859999999999999
GA_BAKER,0.485
GA_BALDWIN,0.5489999999999999
GA_BANKS,0.917
GA_BARROW,0.7879999999999999
GA_BARTOW,0.8270000000000001
GA_BENHILL,0.5920000000000001
GA_BERRIEN,0.847
GA_BIBB,0.43200000000000005
GA_BLECKLEY,0.701
GA_BRANTLEY,0.9440000000000001
GA_BROOKS,0.599
GA_BRYAN,0.802
GA_BULLOCH,0.672
GA_BURKE,0.475
GA_BUTTS,0.6990000000000001
GA_CALHOUN,0.34700000000000003
GA_CAMDEN,0.7440000000000001
GA_CANDLER,0.659
GA_CARROLL,0.7559999999999999
GA_CATOOSA,0.9359999999999999
GA_CHARLTON,0.6859999999999999
GA_CHATHAM,0.528
GA_CHATTAHOOCHEE,0.688
GA_CHATTOOGA,0.8390000000000001
GA_CHEROKEE,0.866
GA_CLARKE,0.619
GA_CLAY,0.376
