YEAR,STATE_COUNTY,INCINEQUALITY
2017,MI_ISABELLA,5.462
2017,AK_YUKONKOYUKUKCENSUSARE,5.456
2017,TN_SHELBY,5.454
2017,TX_HUNT,5.451
2017,GA_CANDLER,5.449
2017,KY_BELL,5.449
2017,TX_GLASSCOCK,5.449
2017,CA_ALPINE,5.441
2017,GA_COFFEE,5.438
2017,OK_LATIMER,5.437
2017,SC_WILLIAMSBURG,5.435
2017,SC_FAIRFIELD,5.431
2017,IL_COOK,5.43
2017,VA_BUCHANAN,5.428
2017,TN_PUTNAM,5.425
2017,MA_ESSEX,5.424
2017,MA_BRISTOL,5.419
2017,GA_BERRIEN,5.418
2017,CA_LOSANGELES,5.418
2017,TX_LLANO,5.415
2017,ID_LATAH,5.413
2017,GA_DODGE,5.412
2017,GA_LOWNDES,5.411
2017,GA_MCDUFFIE,5.411
2017,LA_TENSAS,5.409
2017,FL_FRANKLIN,5.408
2017,TN_COCKE,5.407
2017,MS_SMITH,5.406
2017,GA_RICHMOND,5.405
2017,VA_LYNCHBURG,5.404
2017,OH_LUCAS,5.4
2017,ND_DIVIDE,5.397
2017,KY_KNOTT,5.395
2017,AR_JEFFERSON,5.395
2017,WV_GILMER,5.393
2017,LA_ASSUMPTION,5.392
2017,KY_MENIFEE,5.392
2017,WA_SKAMANIA,5.391
2017,OH_ADAMS,5.389
2017,GA_ATKINSON,5.387
2017,NJ_MERCER,5.386
2017,LA_AVOYELLES,5.384
2017,HI_HAWAII,5.381
2017,MO_PEMISCOT,5.38
2017,AL_HENRY,5.378
2017,SD_CORSON,5.377
2017,TX_HAMILTON,5.376
2017,KS_KIOWA,5.375
2017,TX_DUVAL,5.375
2017,IL_STCLAIR,5.371
2017,CA_ALAMEDA,5.367
2017,TX_REAGAN,5.366
2017,WA_KITTITAS,5.363
2017,IL_HAMILTON,5.358
2017,KY_FAYETTE,5.358
2017,GA_BACON,5.357
2017,AR_CONWAY,5.357
2017,KY_MADISON,5.354
2017,TX_PECOS,5.354
2017,LA_WEBSTER,5.352
2017,IL_SALINE,5.35
2017,NC_SWAIN,5.348
2017,LA_CONCORDIA,5.342
2017,MS_TALLAHATCHIE,5.342
2017,KY_UNION,5.34
2017,KY_BOYD,5.34
2017,TN_LAKE,5.337
2017,LA_ACADIA,5.336
2017,TX_STARR,5.336
2017,MS_JEFFERSON,5.336
2017,LA_STMARY,5.336
2017,WV_BRAXTON,5.335
2017,VA_RUSSELL,5.333
2017,AL_FAYETTE,5.331
2017,WV_LOGAN,5.33
2017,GA_TATTNALL,5.329
2017,SC_ALLENDALE,5.327
2017,GA_WILCOX,5.326
2017,SD_MELLETTE,5.325
2017,TX_WARD,5.316
2017,WV_MINERAL,5.315
2017,IA_JOHNSON,5.314
2017,AZ_COCONINO,5.314
2017,GA_SCREVEN,5.313
2017,TX_MILAM,5.312
2017,SC_GEORGETOWN,5.311
2017,GA_WARE,5.308
2017,WV_BOONE,5.307
2017,WV_MCDOWELL,5.302
2017,TX_MARION,5.298
