YEAR,STATE_COUNTY,POVERTY_RATE
2016,NJ_BERGEN,0.07518132100016968
2016,UT_UTAH,0.12547015632186415
2016,NY_ONONDAGA,0.151862559768709
2016,MA_BRISTOL,0.12494966794762126
2016,VA_FAIRFAX,0.05992823499033933
2016,SC_GREENVILLE,0.14270728271647495
2016,NJ_CAMDEN,0.13265579350109188
2016,CA_SANTABARBARA,0.15895840414128473
2016,CA_MONTEREY,0.16096595600019425
2016,TR_BAYAMÓNMUNICIPALITY,0.35266133811728145
2016,CO_ARAPAHOE,0.10684229963494227
2016,FL_PASCO,0.13555337618503271
2016,NV_WASHOE,0.14964420837514153
2016,NJ_OCEAN,0.11190297250369295
2016,IL_DUPAGE,0.07047466913070671
2016,TX_DENTON,0.08718150073131373
2016,GA_CLAYTON,0.24280925850432578
2016,WI_DANE,0.12668042106771024
