STATE_COUNTY,AFAMERPER
FL_CALHOUN,0.138
FL_CHARLOTTE,0.057
FL_CITRUS,0.027999999999999997
FL_CLAY,0.099
FL_COLLIER,0.066
FL_COLUMBIA,0.175
FL_DESOTO,0.127
FL_DIXIE,0.084
FL_DUVAL,0.295
FL_ESCAMBIA,0.22899999999999998
FL_FLAGLER,0.114
FL_FRANKLIN,0.138
FL_GADSDEN,0.56
FL_GILCHRIST,0.053
FL_GLADES,0.12300000000000001
FL_GULF,0.187
FL_HAMILTON,0.345
FL_HARDEE,0.07
FL_HENDRY,0.134
FL_HERNANDO,0.051
FL_HIGHLANDS,0.094
FL_HILLSBOROUGH,0.16699999999999998
FL_HOLMES,0.057999999999999996
FL_INDIANRIVER,0.09
FL_JACKSON,0.266
FL_JEFFERSON,0.36200000000000004
FL_LAFAYETTE,0.159
FL_LAKE,0.098
FL_LEE,0.083
FL_LEON,0.303
FL_LEVY,0.094
FL_LIBERTY,0.179
FL_MADISON,0.38799999999999996
FL_MANATEE,0.087
FL_MARION,0.12300000000000001
FL_MARTIN,0.054000000000000006
FL_MIAMI-DADE,0.18899999999999997
FL_MONROE,0.057
FL_NASSAU,0.064
FL_OKALOOSA,0.09300000000000001
FL_OKEECHOBEE,0.08
FL_ORANGE,0.20800000000000002
FL_OSCEOLA,0.113
FL_PALMBEACH,0.17300000000000001
FL_PASCO,0.045
FL_PINELLAS,0.10300000000000001
FL_POLK,0.14800000000000002
FL_PUTNAM,0.162
FL_STJOHNS,0.055999999999999994
FL_STLUCIE,0.191
FL_SANTAROSA,0.054000000000000006
FL_SARASOTA,0.047
FL_SEMINOLE,0.111
FL_SUMTER,0.09699999999999999
FL_SUWANNEE,0.114
FL_TAYLOR,0.207
FL_UNION,0.222
FL_VOLUSIA,0.105
FL_WAKULLA,0.145
FL_WALTON,0.057999999999999996
FL_WASHINGTON,0.15
GA_APPLING,0.18600000000000003
GA_ATKINSON,0.17300000000000001
GA_BACON,0.154
GA_BAKER,0.467
GA_BALDWIN,0.415
GA_BANKS,0.023
GA_BARROW,0.114
GA_BARTOW,0.102
GA_BENHILL,0.34600000000000003
GA_BERRIEN,0.107
GA_BIBB,0.521
GA_BLECKLEY,0.273
GA_BRANTLEY,0.028999999999999998
GA_BROOKS,0.353
GA_BRYAN,0.142
GA_BULLOCH,0.276
GA_BURKE,0.495
GA_BUTTS,0.273
GA_CALHOUN,0.613
GA_CAMDEN,0.19399999999999998
GA_CANDLER,0.244
GA_CARROLL,0.182
GA_CATOOSA,0.022000000000000002
GA_CHARLTON,0.285
GA_CHATHAM,0.401
GA_CHATTAHOOCHEE,0.188
GA_CHATTOOGA,0.111
GA_CHEROKEE,0.057
GA_CLARKE,0.266
GA_CLAY,0.604
GA_CLAYTON,0.6609999999999999
GA_CLINCH,0.27699999999999997
GA_COBB,0.25
GA_COFFEE,0.266
GA_COLQUITT,0.22399999999999998
GA_COLUMBIA,0.149
GA_COOK,0.273
GA_COWETA,0.17300000000000001
GA_CRAWFORD,0.223
GA_CRISP,0.43
GA_DADE,0.009000000000000001
GA_DAWSON,0.005
GA_DECATUR,0.41100000000000003
GA_DEKALB,0.5429999999999999
GA_DODGE,0.298
GA_DOOLY,0.499
GA_DOUGHERTY,0.6709999999999999
GA_DOUGLAS,0.395
GA_EARLY,0.496
GA_ECHOLS,0.042
GA_EFFINGHAM,0.135
GA_ELBERT,0.295
GA_EMANUEL,0.335
GA_EVANS,0.29100000000000004
GA_FANNIN,0.004
GA_FAYETTE,0.201
GA_FLOYD,0.142
GA_FORSYTH,0.026000000000000002
GA_FRANKLIN,0.084
GA_FULTON,0.441
GA_GILMER,0.005
GA_GLASCOCK,0.08199999999999999
GA_GLYNN,0.26
GA_GORDON,0.036000000000000004
GA_GRADY,0.287
GA_GREENE,0.382
GA_GWINNETT,0.23600000000000002
GA_HABERSHAM,0.034
GA_HALL,0.07400000000000001
GA_HANCOCK,0.741
GA_HARALSON,0.047
GA_HARRIS,0.172
GA_HART,0.187
GA_HEARD,0.098
GA_HENRY,0.369
GA_HOUSTON,0.28600000000000003
GA_IRWIN,0.259
GA_JACKSON,0.068
GA_JASPER,0.218
GA_JEFFDAVIS,0.14800000000000002
GA_JEFFERSON,0.544
GA_JENKINS,0.405
GA_JOHNSON,0.35
GA_JONES,0.244
GA_LAMAR,0.308
GA_LANIER,0.237
GA_LAURENS,0.358
GA_LEE,0.18600000000000003
GA_LIBERTY,0.42200000000000004
GA_LINCOLN,0.321
GA_LONG,0.252
GA_LOWNDES,0.358
GA_LUMPKIN,0.011000000000000001
GA_MCDUFFIE,0.39799999999999996
GA_MCINTOSH,0.359
GA_MACON,0.606
GA_MADISON,0.084
GA_MARION,0.327
GA_MERIWETHER,0.391
GA_MILLER,0.281
GA_MITCHELL,0.47700000000000004
GA_MONROE,0.237
GA_MONTGOMERY,0.263
GA_MORGAN,0.23600000000000002
GA_MURRAY,0.006
GA_MUSCOGEE,0.455
GA_NEWTON,0.409
GA_OCONEE,0.05
GA_OGLETHORPE,0.172
GA_PAULDING,0.171
GA_PEACH,0.45899999999999996
GA_PICKENS,0.011000000000000001
GA_PIERCE,0.08900000000000001
GA_PIKE,0.10300000000000001
GA_POLK,0.125
GA_PULASKI,0.318
GA_PUTNAM,0.26
GA_QUITMAN,0.479
GA_RABUN,0.01
GA_RANDOLPH,0.618
GA_RICHMOND,0.542
