,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE
91,AR_CALHOUN,1556,0.6858,639,0.2816,17763.0,2017.0,0.129,2017.0,0.461
92,AR_CARROLL,6786,0.6308,3342,0.3107,20637.0,2017.0,0.19,2017.0,0.435
93,AR_CHICOT,1716,0.4109,2350,0.5627,16538.0,2017.0,0.143,2017.0,0.41100000000000003
94,AR_CLARK,4404,0.5165,3620,0.4246,17960.0,2017.0,0.122,2017.0,0.593
95,AR_CLAY,3781,0.7271,1199,0.2306,18509.0,2017.0,0.146,2017.0,0.431
96,AR_CLEBURNE,9458,0.7826000000000001,2101,0.1739,23044.0,2017.0,0.139,2017.0,0.485
97,AR_CLEVELAND,2462,0.7340000000000001,723,0.2156,20622.0,2017.0,0.118,2017.0,0.503
98,AR_COLUMBIA,5456,0.6139,3140,0.3533,19439.0,2017.0,0.135,2017.0,0.5720000000000001
99,AR_CONWAY,4849,0.6117,2656,0.33509999999999995,20040.0,2017.0,0.134,2017.0,0.511
100,AR_CRAIGHEAD,22892,0.6435,10538,0.2962,23138.0,2017.0,0.133,2017.0,0.619
101,AR_CRAWFORD,16686,0.7433,3488,0.1999,19477.0,2017.0,0.15,2017.0,0.539
102,AR_CRITTENDEN,6964,0.4366,8410,0.5272,19665.0,2017.0,0.119,2017.0,0.512
103,AR_CROSS,4584,0.6668999999999999,1999,0.2908,18701.0,2017.0,0.124,2017.0,0.392
104,AR_DALLAS,1509,0.5446,1165,0.4204,16838.0,2017.0,0.135,2017.0,0.41700000000000004
105,AR_DESHA,1919,0.4508,2228,0.5234000000000001,19822.0,2017.0,0.13,2017.0,0.406
106,AR_DREW,3968,0.6017,2365,0.3586,17057.0,2017.0,0.125,2017.0,0.59
107,AR_FAULKNER,29346,0.6175,14629,0.3078,24401.0,2017.0,0.125,2017.0,0.67
108,AR_FRANKLIN,5039,0.7443000000000001,1376,0.2032,19135.0,2017.0,0.135,2017.0,0.522
109,AR_FULTON,3471,0.7273999999999999,1067,0.2236,19326.0,2017.0,0.147,2017.0,0.597
110,AR_GARLAND,26087,0.6369,12311,0.3017,23170.0,2017.0,0.152,2017.0,0.5760000000000001
111,AR_GRANT,5725,0.769,1373,0.1844,23239.0,2017.0,0.111,2017.0,0.594
112,AR_GREENE,10720,0.7342,3071,0.2103,19652.0,2017.0,0.112,2017.0,0.512
113,AR_HEMPSTEAD,4401,0.6243,2377,0.3372,17376.0,2017.0,0.162,2017.0,0.445
115,AR_HOWARD,3157,0.6754000000000001,1351,0.289,18707.0,2017.0,0.177,2017.0,0.5429999999999999
116,AR_INDEPENDENCE,9936,0.7298,2881,0.2116,20289.0,2017.0,0.134,2017.0,0.537
117,AR_IZARD,4042,0.7419,1113,0.2043,18040.0,2017.0,0.166,2017.0,0.45399999999999996
118,AR_JACKSON,3267,0.6335999999999999,1583,0.307,15609.0,2017.0,0.139,2017.0,0.39899999999999997
119,AR_JEFFERSON,9250,0.3572,15772,0.6091,19353.0,2017.0,0.112,2017.0,0.494
120,AR_JOHNSON,6091,0.6685,2427,0.2664,19366.0,2017.0,0.166,2017.0,0.387
121,AR_LAFAYETTE,1758,0.6147,1032,0.3608,17212.0,2017.0,0.162,2017.0,0.38299999999999995
122,AR_LAWRENCE,4064,0.7149,1263,0.2222,15971.0,2017.0,0.125,2017.0,0.514
123,AR_LEE,1229,0.4061,1735,0.5734,12529.0,2017.0,0.135,2017.0,0.316
124,AR_LINCOLN,2455,0.6417,1252,0.3272,15023.0,2017.0,0.146,2017.0,0.311
126,AR_LOGAN,5746,0.7254,1715,0.2165,19046.0,2017.0,0.141,2017.0,0.442
127,AR_LONOKE,19958,0.7365,5664,0.209,23218.0,2017.0,0.108,2017.0,0.619
128,AR_MADISON,4928,0.7204,1588,0.2321,18754.0,2017.0,0.174,2017.0,0.331
