STATE_COUNTY,PER_CAPITA_INCOME
TX_ARMSTRONG,26823
TX_DALLAS,26816
NM_BERNALILLO,26814
OH_BUTLER,26813
KS_SMITH,26811
WY_NIOBRARA,26797
TX_BLANCO,26781
NE_HOWARD,26770
MN_LINCOLN,26767
AL_BALDWIN,26766
IA_JONES,26762
GA_COWETA,26757
LA_ST.CHARLES,26756
MI_MACOMB,26748
IA_HUMBOLDT,26746
CA_SACRAMENTO,26739
OR_BENTON,26738
GA_GLYNN,26724
PA_BERKS,26723
OH_LICKING,26716
NE_HAMILTON,26715
AR_BENTON,26715
NE_GARDEN,26715
IL_BUREAU,26705
IL_DEWITT,26704
CO_MESA,26700
GA_PICKENS,26686
MN_NICOLLET,26674
KY_SPENCER,26666
MN_GRANT,26665
VA_SALEMCITY,26661
HI_KAUAI,26658
SC_GREENVILLE,26643
IL_OGLE,26635
TX_REAGAN,26633
WI_IOWACOUNTY,26625
IA_BENTON,26624
IL_MERCER,26620
KS_OTTAWA,26614
CO_GARFIELD,26603
SD_JERAULD,26590
NY_SCHOHARIE,26584
MI_EATON,26582
NY_ESSEX,26582
FL_CLAY,26577
MN_BROWN,26576
IA_CEDAR,26567
OK_OKLAHOMACOUNTY,26561
SC_YORK,26553
WY_HOTSPRINGS,26544
NC_FORSYTH,26541
AK_ALEUTIANSEAST,26535
MD_WASHINGTONCOUNTY,26532
WA_WHATCOM,26530
MN_CROWWING,26527
TX_PANOLA,26525
NV_HUMBOLDT,26515
WI_KENOSHA,26514
SD_MCCOOK,26505
LA_ORLEANS,26500
PA_LANCASTER,26496
NY_QUEENS,26495
MN_MARTIN,26472
NC_IREDELL,26467
NC_GUILFORD,26461
IA_WASHINGTONCOUNTY,26459
IL_ROCKISLAND,26455
MN_HOUSTON,26450
TX_COKE,26407
MN_OTTERTAIL,26400
MD_DORCHESTER,26388
IA_SHELBY,26387
SD_MINNEHAHA,26380
VA_HIGHLANDCOUNTY,26372
KS_GRANT,26370
WI_FONDDULAC,26368
GA_LEE,26357
IA_SAC,26350
