YEAR,STATE_COUNTY,UNEMP_RATE
2017,OR_JOSEPHINE,0.079
2017,MS_GREENE,0.079
2017,CA_ALPINE,0.079
2017,MO_OZARK,0.079
2017,TX_JIMWELLS,0.079
2017,MS_JASPER,0.079
2017,WI_SAWYER,0.079
2017,OK_LATIMER,0.079
2017,MS_MONTGOMERY,0.079
2017,AR_LAFAYETTE,0.079
2017,NC_RICHMOND,0.079
2017,TX_HIDALGO,0.079
2017,AZ_GREENLEE,0.079
2017,TN_GRUNDY,0.079
2017,NC_SWAIN,0.079
2017,GA_PEACH,0.079
2017,MO_RIPLEY,0.079
2017,AL_COLBERT,0.079
2017,NM_CIBOLA,0.079
2017,AR_PHILLIPS,0.079
2017,TN_BLEDSOE,0.079
2017,TN_STEWART,0.079
2017,OH_ADAMS,0.079
2017,LA_STLANDRY,0.079
2017,LA_DESOTO,0.079
2017,TN_COCKE,0.079
2017,MO_STONE,0.078
2017,GA_BALDWIN,0.078
2017,TN_MEIGS,0.078
2017,AR_JACKSON,0.078
2017,UT_SANJUAN,0.078
2017,SC_UNION,0.078
2017,TN_HARDEMAN,0.078
2017,KY_GREENUP,0.078
2017,AK_KENAIPENINSULABOROUG,0.078
2017,AK_MATANUSKA-SUSITNABOROUG,0.078
2017,WV_HANCOCK,0.078
2017,LA_ASSUMPTION,0.078
2017,TN_BENTON,0.078
2017,MS_CHICKASAW,0.078
2017,IL_UNION,0.078
2017,CA_SHASTA,0.078
2017,AL_HALE,0.078
2017,MO_IRON,0.078
2017,NC_RUTHERFORD,0.078
2017,GA_TOWNS,0.078
2017,TN_PICKETT,0.078
2017,KY_BATH,0.078
2017,NV_LINCOLN,0.078
2017,SC_CLARENDON,0.078
2017,GA_SPALDING,0.078
2017,WV_GILMER,0.078
2017,CA_TRINITY,0.078
2017,LA_NATCHITOCHES,0.078
2017,MS_FRANKLIN,0.078
2017,OR_LAKE,0.078
2017,GA_MERIWETHER,0.078
2017,AL_BULLOCK,0.078
2017,OK_MCCURTAIN,0.077
2017,IL_SALINE,0.077
2017,OR_DOUGLAS,0.077
2017,NC_MARTIN,0.077
2017,MS_ATTALA,0.077
2017,NY_BRONX,0.077
2017,WA_MASON,0.077
2017,PA_FOREST,0.077
2017,MD_BALTIMORECITY,0.077
2017,GA_WARREN,0.077
2017,IL_MONTGOMERY,0.077
2017,ID_SHOSHONE,0.077
2017,GA_DOUGHERTY,0.077
2017,NM_SANMIGUEL,0.077
2017,IL_FULTON,0.077
2017,LA_VERNON,0.077
2017,CA_LAKE,0.077
2017,AL_LAWRENCE,0.077
2017,OH_SCIOTO,0.077
2017,KY_FULTON,0.077
2017,MI_ALCONA,0.077
2017,CO_HUERFANO,0.077
