,STATE_COUNTY,PERCENT,tax,property_tax,sales_tax,business_tax,utility_tax,hotel_tax,bonds,ordinance,infrastructure,roads,parks,social_services,mental_health,substance_abuse,affordable_housing,emergency_services,fire,police,paramedic,spending_limit,cannabis,education,library,school,land_use,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME
47,CA_LOS ANGELES,59.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769743,0.2241,2464364,0.7176,27749
48,CA_LOS ANGELES,66.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,769743,0.2241,2464364,0.7176,27749
49,CA_MARIN,66.6,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21771,0.1563,108707,0.7805,56791
50,CA_MARIN,73.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21771,0.1563,108707,0.7805,56791
51,CA_MONTEREY,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34895,0.2616,89088,0.6678000000000001,24775
52,CA_MONTEREY,68.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,34895,0.2616,89088,0.6678000000000001,24775
53,CA_MONTEREY,81.6,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34895,0.2616,89088,0.6678000000000001,24775
54,CA_MONTEREY,63.1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,34895,0.2616,89088,0.6678000000000001,24775
55,CA_PLUMAS,35.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5420,0.5600999999999999,3459,0.3575,29806
56,CA_RIVERSIDE,11.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333243,0.4435,373695,0.4973,23591
