STATE_COUNTY,ASIANPER
GA_GILMER,0.003
GA_GLASCOCK,0.0
GA_GLYNN,0.012
GA_GORDON,0.01
GA_GRADY,0.004
GA_GREENE,0.003
GA_GWINNETT,0.106
GA_HABERSHAM,0.022000000000000002
GA_HALL,0.018000000000000002
GA_HANCOCK,0.005
GA_HARALSON,0.005
GA_HARRIS,0.009000000000000001
GA_HART,0.009000000000000001
GA_HEARD,0.005
GA_HENRY,0.028999999999999998
GA_HOUSTON,0.024
GA_IRWIN,0.006
GA_JACKSON,0.017
GA_JASPER,0.002
GA_JEFFDAVIS,0.005
GA_JEFFERSON,0.004
GA_JENKINS,0.004
GA_JOHNSON,0.002
GA_JONES,0.006999999999999999
GA_LAMAR,0.004
GA_LANIER,0.01
GA_LAURENS,0.01
GA_LEE,0.022000000000000002
GA_LIBERTY,0.02
GA_LINCOLN,0.004
GA_LONG,0.008
GA_LOWNDES,0.015
GA_LUMPKIN,0.005
GA_MCDUFFIE,0.003
GA_MCINTOSH,0.003
GA_MACON,0.013000000000000001
GA_MADISON,0.006
GA_MARION,0.009000000000000001
GA_MERIWETHER,0.006
GA_MILLER,0.005
GA_MITCHELL,0.005
GA_MONROE,0.008
GA_MONTGOMERY,0.003
GA_MORGAN,0.006
GA_MURRAY,0.003
GA_MUSCOGEE,0.022000000000000002
GA_NEWTON,0.009000000000000001
GA_OCONEE,0.031
GA_OGLETHORPE,0.004
GA_PAULDING,0.009000000000000001
GA_PEACH,0.008
GA_PICKENS,0.004
GA_PIERCE,0.003
GA_PIKE,0.003
GA_POLK,0.006999999999999999
GA_PULASKI,0.009000000000000001
GA_PUTNAM,0.005
GA_QUITMAN,0.001
GA_RABUN,0.006999999999999999
GA_RANDOLPH,0.003
GA_RICHMOND,0.017
GA_ROCKDALE,0.018000000000000002
GA_SCHLEY,0.006999999999999999
GA_SCREVEN,0.004
GA_SEMINOLE,0.004
GA_SPALDING,0.009000000000000001
GA_STEPHENS,0.006999999999999999
GA_STEWART,0.006999999999999999
GA_SUMTER,0.013000000000000001
GA_TALBOT,0.001
GA_TALIAFERRO,0.006
GA_TATTNALL,0.004
