STATE_COUNTY,HISPANICPER
GA_SPALDING,0.038
GA_STEPHENS,0.024
GA_STEWART,0.24
GA_SUMTER,0.052000000000000005
GA_TALBOT,0.013000000000000001
GA_TALIAFERRO,0.02
GA_TATTNALL,0.098
GA_TAYLOR,0.018000000000000002
GA_TELFAIR,0.12300000000000001
GA_TERRELL,0.017
GA_THOMAS,0.028999999999999998
GA_TIFT,0.10099999999999999
GA_TOOMBS,0.11199999999999999
GA_TOWNS,0.02
GA_TREUTLEN,0.015
GA_TROUP,0.032
GA_TURNER,0.032
GA_TWIGGS,0.013999999999999999
GA_UNION,0.024
GA_UPSON,0.022000000000000002
GA_WALKER,0.016
GA_WALTON,0.032
GA_WARE,0.033
GA_WARREN,0.009000000000000001
GA_WASHINGTON,0.019
GA_WAYNE,0.057
GA_WEBSTER,0.035
GA_WHEELER,0.048
GA_WHITE,0.024
GA_WHITFIELD,0.316
GA_WILCOX,0.037000000000000005
GA_WILKES,0.034
GA_WILKINSON,0.022000000000000002
GA_WORTH,0.015
HI_HAWAII,0.11599999999999999
HI_HONOLULU,0.081
HI_KALAWAO,0.011000000000000001
HI_KAUAI,0.094
HI_MAUI,0.10099999999999999
ID_ADA,0.071
ID_ADAMS,0.024
ID_BANNOCK,0.067
ID_BEARLAKE,0.036000000000000004
ID_BENEWAH,0.025
ID_BINGHAM,0.172
ID_BLAINE,0.2
ID_BOISE,0.035
ID_BONNER,0.022000000000000002
ID_BONNEVILLE,0.114
ID_BOUNDARY,0.037000000000000005
ID_BUTTE,0.040999999999999995
ID_CAMAS,0.067
ID_CANYON,0.239
ID_CARIBOU,0.048
ID_CASSIA,0.249
ID_CLARK,0.405
ID_CLEARWATER,0.031
ID_CUSTER,0.04
ID_ELMORE,0.152
ID_FRANKLIN,0.066
ID_FREMONT,0.128
ID_GEM,0.08
ID_GOODING,0.281
ID_IDAHO,0.026000000000000002
ID_JEFFERSON,0.10099999999999999
ID_JEROME,0.31
ID_KOOTENAI,0.038
ID_LATAH,0.036000000000000004
ID_LEMHI,0.023
ID_LEWIS,0.033
ID_LINCOLN,0.28300000000000003
ID_MADISON,0.059000000000000004
ID_MINIDOKA,0.324
ID_NEZPERCE,0.027999999999999997
ID_ONEIDA,0.028999999999999998
ID_OWYHEE,0.258
ID_PAYETTE,0.149
ID_POWER,0.298
ID_SHOSHONE,0.03
ID_TETON,0.16899999999999998
ID_TWINFALLS,0.13699999999999998
ID_VALLEY,0.039
ID_WASHINGTON,0.168
IL_ADAMS,0.012
IL_ALEXANDER,0.019
IL_BOND,0.031
IL_BOONE,0.20199999999999999
IL_BROWN,0.057999999999999996
IL_BUREAU,0.077
IL_CALHOUN,0.008
IL_CARROLL,0.027999999999999997
IL_CASS,0.168
IL_CHAMPAIGN,0.053
IL_CHRISTIAN,0.013999999999999999
IL_CLARK,0.011000000000000001
IL_CLAY,0.011000000000000001
IL_CLINTON,0.027999999999999997
IL_COLES,0.021
IL_COOK,0.24
IL_CRAWFORD,0.018000000000000002
IL_CUMBERLAND,0.006999999999999999
IL_DEKALB,0.10099999999999999
IL_DEWITT,0.021
IL_DOUGLAS,0.061
IL_DUPAGE,0.133
IL_EDGAR,0.01
IL_EDWARDS,0.009000000000000001
IL_EFFINGHAM,0.017
IL_FAYETTE,0.013999999999999999
IL_FORD,0.021
IL_FRANKLIN,0.012
IL_FULTON,0.024
IL_GALLATIN,0.012
IL_GREENE,0.008
IL_GRUNDY,0.08199999999999999
IL_HAMILTON,0.012
IL_HANCOCK,0.01
IL_HARDIN,0.013000000000000001
IL_HENDERSON,0.011000000000000001
IL_HENRY,0.048
IL_IROQUOIS,0.053
